LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2022-12-28 16:18:27,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-84, ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:27,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-85, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:27,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-86, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:27,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-86, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:27,1900-01-00 00:00:00,,84:4B:F5:26:52:1D,-81,,0.000000,0.000000,0.000,0.000,Client
2022-12-28 16:18:27,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-84, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:27,1900-01-00 00:00:00,,00:6E:07:9F:1A:51,-83,,0.000000,0.000000,0.000,0.000,Client
2022-12-28 16:18:28,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-81, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:29,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-80, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:29,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-80, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:29,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-79, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:29,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-79, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:29,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-83, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:29,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-82, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:29,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-79, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:29,1900-01-00 00:00:00,,C0:25:06:F8:54:CC,-80, WPA ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:29,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:29,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:30,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:30,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:30,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:30,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:30,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:30,1900-01-00 00:00:00,,00:6E:07:9F:1A:51,-81,,0.000000,0.000000,0.000,0.000,Client
2022-12-28 16:18:30,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:30,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:30,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,-76, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,,00:6E:07:9B:BD:8F,-80,,0.000000,0.000000,0.000,0.000,Client
2022-12-28 16:18:31,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,,00:6E:07:9B:BD:8F,-81,,0.000000,0.000000,0.000,0.000,Client
2022-12-28 16:18:31,1900-01-00 00:00:00,,00:6E:07:9B:54:5D,-87,,0.000000,0.000000,0.000,0.000,Client
2022-12-28 16:18:31,1900-01-00 00:00:00,Sputnik,C0:25:06:F8:54:CC,0, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2022-12-28 16:18:31,1900-01-00 00:00:00,,00:6E:07:A0:BD:65,-83,,0.000000,0.000000,0.000,0.000,Client
